registrikood;nimi;riik_kood;url;load_luba_tyyp;load_luba_number;load_luba_staatus;load_luba_url;load_luba_valdkond;load_luba_tegevusala;load_luba_emtak_kood;load_luba_kehtiv_alates;load_luba_kehtiv_kuni;load_luba_emtak
11232854;Filmer OÜ;EST;https://mtr.ttja.ee/juriidiline_isik/75166;Majandustegevusteade;KTO022865;kehtiv;https://mtr.ttja.ee/taotluse_tulemus/514891;Kaubandus;Toitlustamine;56301;2019-07-08;;
11267031;Orkla Eesti AS;EST;https://mtr.ttja.ee/juriidiline_isik/76296;Majandustegevusteade;KTO001779;kehtiv;https://mtr.ttja.ee/taotluse_tulemus/294487;Kaubandus;Toitlustamine;56301;2005-01-18;;
11322184;osaühing TEHNOALA;EST;https://mtr.ttja.ee/juriidiline_isik/85235;Majandustegevusteade;KTO024702;kehtiv;https://mtr.ttja.ee/taotluse_tulemus/628465;Kaubandus;Toitlustamine;56301;2024-03-10;;
11353078;ARP Group OÜ;EST;https://mtr.ttja.ee/juriidiline_isik/89361;Majandustegevusteade;KTO019880;kehtiv;https://mtr.ttja.ee/taotluse_tulemus/295587;Kaubandus;Toitlustamine;56301;2014-06-17;;
11373916;Bright solution OÜ;EST;https://mtr.ttja.ee/juriidiline_isik/97439;Majandustegevusteade;KTO017042;kehtiv;https://mtr.ttja.ee/taotluse_tulemus/294963;Kaubandus;Toitlustamine;56301;2012-10-09;;
11374258;Cuce-Camp OÜ;EST;https://mtr.ttja.ee/juriidiline_isik/78669;Majandustegevusteade;KTO020991;kehtiv;https://mtr.ttja.ee/taotluse_tulemus/437383;Kaubandus;Toitlustamine;56301;2015-12-10;;
11418273;Iliotech Group OÜ;EST;https://mtr.ttja.ee/juriidiline_isik/94948;Majandustegevusteade;KTO021077;kehtiv;https://mtr.ttja.ee/taotluse_tulemus/441023;Kaubandus;Toitlustamine;56301;2016-03-11;;
11449499;UPA Building OÜ;EST;https://mtr.ttja.ee/juriidiline_isik/89898;Majandustegevusteade;KTO011852;kehtiv;https://mtr.ttja.ee/taotluse_tulemus/296750;Kaubandus;Toitlustamine;56301;2010-04-22;;
11788014;Triimoon Trade OÜ;EST;https://mtr.ttja.ee/juriidiline_isik/88120;Majandustegevusteade;KTO011508;kehtiv;https://mtr.ttja.ee/taotluse_tulemus/295070;Kaubandus;Toitlustamine;56301;2009-12-18;;
11878510;WinWinPartner OÜ;EST;https://mtr.ttja.ee/juriidiline_isik/91507;Majandustegevusteade;KTO019438;kehtiv;https://mtr.ttja.ee/taotluse_tulemus/294958;Kaubandus;Toitlustamine;56301;2014-05-07;;
11920608;Direccion OÜ;EST;https://mtr.ttja.ee/juriidiline_isik/132705;Majandustegevusteade;KTO020408;kehtiv;https://mtr.ttja.ee/taotluse_tulemus/309022;Kaubandus;Toitlustamine;56301;2014-10-30;;
11977867;Kaevukohvik OÜ;EST;https://mtr.ttja.ee/juriidiline_isik/92648;Majandustegevusteade;KTO013675;kehtiv;https://mtr.ttja.ee/taotluse_tulemus/295059;Kaubandus;Toitlustamine;56301;2011-01-10;;
12026281;Plastekor OÜ;EST;https://mtr.ttja.ee/juriidiline_isik/92621;Majandustegevusteade;KTO025560;kehtiv;https://mtr.ttja.ee/taotluse_tulemus/673739;Kaubandus;Toitlustamine;56301;2026-05-07;;
12046361;OKO restoranid OÜ;EST;https://mtr.ttja.ee/juriidiline_isik/93243;Majandustegevusteade;KTO013800;kehtiv;https://mtr.ttja.ee/taotluse_tulemus/293809;Kaubandus;Toitlustamine;56301;2011-03-03;;
12046361;OKO restoranid OÜ;EST;https://mtr.ttja.ee/juriidiline_isik/93243;Majandustegevusteade;KTO019216;kehtiv;https://mtr.ttja.ee/taotluse_tulemus/296486;Kaubandus;Toitlustamine;56301;2014-03-03;;
12073458;Bilanss & Associates OÜ;EST;https://mtr.ttja.ee/juriidiline_isik/94232;Majandustegevusteade;KTO013959;kehtiv;https://mtr.ttja.ee/taotluse_tulemus/295471;Kaubandus;Toitlustamine;56301;2011-04-29;;
